society_id,orig_org_id,base_org_id,suffix
full-1ad-msbExp-tc20.member,EuroShipPacker,EuroShipPacker,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,EuroGround,EuroGround,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,EuroSea,EuroSea,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,EuroAir,EuroAir,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,EuroTRANSCOM,EuroTRANSCOM,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,PlanePackerA,PlanePackerA,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,PlanePackerB,PlanePackerB,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,ConusAir,ConusAir,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,ConusShipPacker,ConusShipPacker,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,ConusGroundA,ConusGroundA,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,TheaterGroundA,TheaterGroundA,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,TheaterGroundB,TheaterGroundB,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,ConusSea,ConusSea,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,ConusTRANSCOM,ConusTRANSCOM,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,AmmoShipPacker,AmmoShipPacker,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,AmmoConusGround,AmmoConusGround,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,AmmoTheaterGround,AmmoTheaterGround,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,AmmoSea,AmmoSea,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,AmmoTRANSCOM,AmmoTRANSCOM,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,TRANSCOM-20,TRANSCOM-20,TRANSCOM.MIL
full-1ad-msbExp-tc20.member,FORSCOM,FORSCOM,MIL
full-1ad-msbExp-tc20.member,HNS,HNS,MIL
full-1ad-msbExp-tc20.member,DLAHQ,DLAHQ,MIL
full-1ad-msbExp-tc20.member,OSC,OSC,MIL
full-1ad-msbExp-tc20.member,JSRCMDSE,JSRCMDSE,NATO.GOV
full-1ad-msbExp-tc20.member,NATO,NATO,GOV
full-1ad-msbExp-tc20.member,501-MPCO,501-MPCO,1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,141-SIGBN,141-SIGBN,1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,1-4-ADABN,1-4-ADABN,1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,501-MIBN-CEWI,501-MIBN-CEWI,1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,69-CHEMCO,69-CHEMCO,1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,2-37-ARBN,2-37-ARBN,1-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,1-36-INFBN,1-36-INFBN,1-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,1-37-ARBN,1-37-ARBN,1-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,16-ENGBN,16-ENGBN,1-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,2-3-FABN,2-3-FABN,1-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,501-FSB,501-FSB,DISCOM.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,1-BDE-1-AD,1-BDE,1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,1-6-INFBN,1-6-INFBN,2-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,2-6-INFBN,2-6-INFBN,2-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,1-35-ARBN,1-35-ARBN,2-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,40-ENGBN,40-ENGBN,2-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,4-27-FABN,4-27-FABN,2-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,47-FSB,47-FSB,DISCOM.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,2-BDE-1-AD,2-BDE,1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,1-13-ARBN,1-13-ARBN,3-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,1-41-INFBN,1-41-INFBN,3-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,2-70-ARBN,2-70-ARBN,3-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,70-ENGBN,70-ENGBN,3-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,4-1-FABN,4-1-FABN,3-BDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,125-FSB,125-FSB,DISCOM.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,3-BDE-1-AD,3-BDE,1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,25-FABTRY-TGTACQ,25-FABTRY-TGTACQ,DIVARTY.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,1-94-FABN,1-94-FABN,DIVARTY.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,DIVARTY-1-AD,DIVARTY,1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,123-MSB-POL,123-MSB-POL,DISCOM.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,123-MSB-ORD,123-MSB-ORD,DISCOM.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,123-MSB-PARTS,123-MSB-PARTS,DISCOM.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,123-MSB-FOOD,123-MSB-FOOD,DISCOM.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,123-MSB-HQ,123-MSB-HQ,DISCOM.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,DISCOM-1-AD,DISCOM,1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,127-DASB,127-DASB,DISCOM.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,1-1-CAVSQDN,1-1-CAVSQDN,AVNBDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,1-501-AVNBN,1-501-AVNBN,AVNBDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,2-501-AVNBN,2-501-AVNBN,AVNBDE.1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,AVNBDE-1-AD,AVNBDE,1-AD.ARMY.MIL
full-1ad-msbExp-tc20.member,1-AD,1-AD,ARMY.MIL
full-1ad-msbExp-tc20.member,2-4-FABN-MLRS,2-4-FABN-MLRS,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,1-27-FABN,1-27-FABN,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,3-13-FABN-155,3-13-FABN-155,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,41-FABDE,41-FABDE,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,5-CORPS-ARTY,CORPS-ARTY,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,11-AVN-RGT,11-AVN-RGT,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,12-AVNBDE,12-AVNBDE,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,52-ENGBN-CBTHVY,52-ENGBN-CBTHVY,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,244-ENGBN-CBTHVY,244-ENGBN-CBTHVY,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,130-ENGBDE,130-ENGBDE,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,286-ADA-SCCO,286-ADA-SCCO,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,69-ADABDE,69-ADABDE,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,18-MPBDE,18-MPBDE,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,205-MIBDE,205-MIBDE,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,30-MEDBDE,30-MEDBDE,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,22-SIGBDE,22-SIGBDE,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,5-CORPS-REAR,CORPS-REAR,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,208-SCCO,208-SCCO,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,27-TCBN-MVTCTRL,27-TCBN-MVTCTRL,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,19-MMC,19-MMC,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,102-POL-SUPPLYCO,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,596-MAINTCO,596-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,26-SSCO,26-SSCO,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,588-MAINTCO,588-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,485-CSB,485-CSB,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,77-MAINTCO,77-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,226-MAINTCO,226-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,263-FLDSVC-CO,263-FLDSVC-CO,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,227-SUPPLYCO,227-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,18-MAINTBN,18-MAINTBN,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,594-MDM-TRKCO,594-MDM-TRKCO,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,372-CGO-TRANSCO,372-CGO-TRANSCO,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,15-PLS-TRKCO,15-PLS-TRKCO,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,238-POL-TRKCO,238-POL-TRKCO,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,106-TCBN,106-TCBN,16-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,16-CSG,16-CSG,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,240-SSCO,240-SSCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,317-MAINTCO,317-MAINTCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,597-MAINTCO,597-MAINTCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,71-ORDCO,71-ORDCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,71-MAINTBN,71-MAINTBN,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,541-POL-TRKCO,541-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,584-MAINTCO,584-MAINTCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,406-SUPPLYCO,406-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,561-SSBN,561-SSBN,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,377-HVY-TRKCO,377-HVY-TRKCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,41-POL-TRKCO,41-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,51-MDM-TRKCO,51-MDM-TRKCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,181-TCBN,181-TCBN,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,515-POL-TRKCO,515-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,316-POL-SUPPLYBN,316-POL-SUPPLYBN,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,452-ORDCO,452-ORDCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,529-ORDCO,529-ORDCO,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,125-ORDBN,125-ORDBN,7-CSG.5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,7-CSG,7-CSG,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,3-SUPCOM-HQ,3-SUPCOM-HQ,5-CORPS.ARMY.MIL
full-1ad-msbExp-tc20.member,5-CORPS,5-CORPS,ARMY.MIL
full-1ad-msbExp-tc20.member,AWR-2,AWR-2,21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,200-MMC,200-MMC,21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,RSA,RSA,21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,7-TCGP-TPTDD,7-TCGP-TPTDD,21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,512-MAINTCO,512-MAINTCO,29-SPTGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,574-SSCO,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,5-MAINTCO,5-MAINTCO,29-SPTGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,343-SUPPLYCO,343-SUPPLYCO,29-SPTGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,18-PERISH-SUBPLT,18-PERISH-SUBPLT,29-SPTGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,51-MAINTBN,51-MAINTBN,29-SPTGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,23-ORDCO,23-ORDCO,29-SPTGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,702-EODDET,702-EODDET,29-SPTGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,720-EODDET,720-EODDET,29-SPTGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,24-ORDCO,24-ORDCO,29-SPTGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,191-ORDBN,191-ORDBN,29-SPTGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,29-SPTGP,29-SPTGP,21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,66-MDM-TRKCO,66-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,68-MDM-TRKCO,68-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,109-MDM-TRKCO,109-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,28-TCBN,28-TCBN,37-TRANSGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,416-POL-TRKCO,416-POL-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,110-POL-SUPPLYCO,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,632-MAINTCO,632-MAINTCO,37-TRANSGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,6-TCBN,6-TCBN,37-TRANSGP.21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,37-TRANSGP,37-TRANSGP,21-TSC.ARMY.MIL
full-1ad-msbExp-tc20.member,21-TSC-HQ,21-TSC-HQ,ARMY.MIL
full-1ad-msbExp-tc20.member,USAEUR,USAEUR,MIL
full-1ad-msbExp-tc20.member,USEUCOM,USEUCOM,MIL
full-1ad-msbExp-tc20.member,NCA,OSD,GOV
