order,orig_org_id,base_org_id,suffix,org_name,combat_support,echelon,echelon_group,is_ua,is_deployable,has_physical_assets,has_equipment_assets,has_personnel_assets,uic,home_location
1,NCA,OSD,GOV,NCA,CMD,JOINT,Conus,N,N,N,N,N,,VDYD
2,TRANSCOM-1,TRANSCOM-1,TRANSCOM.MIL,TRANSCOM,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
3,TRANSCOM-7,TRANSCOM-7,TRANSCOM.MIL,TRANSCOM,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
4,GlobalSea,MSC,TRANSCOM.MIL,GlobalSea,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
5,ShipPacker,ShipPacker,TRANSCOM.MIL,ShipPacker,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
6,GlobalAir,AMC,TRANSCOM.MIL,GlobalAir,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
7,PlanePacker,PlanePacker,TRANSCOM.MIL,PlanePacker,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
8,CONUSGround,CONUSGround,TRANSCOM.MIL,CONUSGround,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
9,TheaterGround,TheaterGround,TRANSCOM.MIL,TheaterGround,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
10,TRANSCOM-20,TRANSCOM-20,TRANSCOM.MIL,TRANSCOM,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
11,EuroTRANSCOM,EuroTRANSCOM,TRANSCOM.MIL,EuroTRANSCOM,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
12,EuroSea,EuroSea,TRANSCOM.MIL,EuroSea,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
13,EuroShipPacker,EuroShipPacker,TRANSCOM.MIL,EuroShipPacker,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
14,EuroGround,EuroGround,TRANSCOM.MIL,EuroGround,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
15,EuroAir,EuroAir,TRANSCOM.MIL,EuroAir,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
16,ConusTRANSCOM,ConusTRANSCOM,TRANSCOM.MIL,ConusTRANSCOM,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
17,ConusAir,ConusAir,TRANSCOM.MIL,ConusAir,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
18,PlanePackerA,PlanePackerA,TRANSCOM.MIL,PlanePackerA,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
19,PlanePackerB,PlanePackerB,TRANSCOM.MIL,PlanePackerB,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
20,ConusSea,ConusSea,TRANSCOM.MIL,ConusSea,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
21,ConusShipPacker,ConusShipPacker,TRANSCOM.MIL,ConusShipPacker,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
22,ConusGroundA,ConusGroundA,TRANSCOM.MIL,ConusGroundA,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
23,TheaterGroundA,TheaterGroundA,TRANSCOM.MIL,TheaterGroundA,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
24,TheaterGroundB,TheaterGroundB,TRANSCOM.MIL,TheaterGroundB,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
25,AmmoTRANSCOM,AmmoTRANSCOM,TRANSCOM.MIL,AmmoTRANSCOM,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
26,AmmoSea,AmmoSea,TRANSCOM.MIL,AmmoSea,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
27,AmmoShipPacker,AmmoShipPacker,TRANSCOM.MIL,AmmoShipPacker,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
28,AmmoConusGround,AmmoConusGround,TRANSCOM.MIL,AmmoConusGround,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
29,AmmoTheaterGround,AmmoTheaterGround,TRANSCOM.MIL,AmmoTheaterGround,CSS,JOINT,Transcom,N,N,N,N,N,,VDYD
30,FORSCOM,FORSCOM,MIL,FORSCOM,CMD,JOINT,Conus,N,N,N,N,N,,VDYD
31,HNS,HNS,MIL,HNS,CSS,JOINT,Conus,N,N,N,N,N,,VDYD
32,DLAHQ,DLAHQ,MIL,DLAHQ,CSS,JOINT,Conus,N,N,N,N,N,,VDYD
33,OSC,OSC,MIL,OSC,CSS,JOINT,Conus,N,N,N,N,N,,VDYD
34,NATO,NATO,GOV,NATO,CMD,JOINT,Conus,N,N,N,N,N,,VDYD
35,JSRCMDSE,JSRCMDSE,NATO.GOV,JSRCMDSE,CMD,JOINT,Conus,N,N,N,N,N,,VDYD
36,USEUCOM,USEUCOM,MIL,USEUCOM,CMD,JOINT,Conus,N,N,N,N,N,,VDYD
37,USAEUR,USAEUR,MIL,USAEUR,CMD,JOINT,Conus,N,N,N,N,N,,VDYD
38,5-CORPS,5-CORPS,ARMY.MIL,5-CORPS,CMD,CORPS,Corps,N,Y,Y,Y,Y,WAT6AA,CYWK
