orig_org_id,base_org_id,org_id_suffix,role,echelon_of_support,role_mechanism,notes
102-POL-SUPPLYCO,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL,FuelSupplyProvider,CORPS,,
102-POL-SUPPLYCO,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL,PackagedPOLSupplyProvider,CORPS,,
106-TCBN,106-TCBN,16-CSG.5-CORPS.ARMY.MIL,FuelTransportProvider,CORPS,,Not Used Now
106-TCBN,106-TCBN,16-CSG.5-CORPS.ARMY.MIL,MaterielTransportProvider,CORPS,,Not Used Now
110-POL-SUPPLYCO,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL,FuelSupplyProvider,THEATER,,
110-POL-SUPPLYCO,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL,PackagedPOLSupplyProvider,THEATER,,
123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL,AmmunitionProvider,DIVISION,,
123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL,FuelSupplyProvider,DIVISION,,
123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL,PackagedPOLSupplyProvider,DIVISION,,
123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL,SparePartsProvider,DIVISION,,
123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL,SubsistenceSupplyProvider,DIVISION,,
123-MSB-FOOD,123-MSB-FOOD,DISCOM.1-AD.ARMY.MIL,SubsistenceSupplyProvider,DIVISION,MSB,
123-MSB-ORD,123-MSB-ORD,DISCOM.1-AD.ARMY.MIL,AmmunitionProvider,DIVISION,MSB,
123-MSB-PARTS,123-MSB-PARTS,DISCOM.1-AD.ARMY.MIL,SparePartsProvider,DIVISION,MSB,
123-MSB-POL,123-MSB-POL,DISCOM.1-AD.ARMY.MIL,FuelSupplyProvider,DIVISION,MSB,
123-MSB-POL,123-MSB-POL,DISCOM.1-AD.ARMY.MIL,PackagedPOLSupplyProvider,DIVISION,MSB,
125-FSB,125-FSB,DISCOM.1-AD.ARMY.MIL,AmmunitionProvider,BRIGADE,,
125-FSB,125-FSB,DISCOM.1-AD.ARMY.MIL,FuelSupplyProvider,BRIGADE,,
125-FSB,125-FSB,DISCOM.1-AD.ARMY.MIL,PackagedPOLSupplyProvider,BRIGADE,,
125-FSB,125-FSB,DISCOM.1-AD.ARMY.MIL,SparePartsProvider,BRIGADE,,
125-FSB,125-FSB,DISCOM.1-AD.ARMY.MIL,SubsistenceSupplyProvider,BRIGADE,,
125-ORDBN,125-ORDBN,7-CSG.5-CORPS.ARMY.MIL,AmmunitionProvider,CORPS,,
127-DASB,127-DASB,DISCOM.1-AD.ARMY.MIL,AmmunitionProvider,BRIGADE,,
127-DASB,127-DASB,DISCOM.1-AD.ARMY.MIL,FuelSupplyProvider,BRIGADE,,
127-DASB,127-DASB,DISCOM.1-AD.ARMY.MIL,PackagedPOLSupplyProvider,BRIGADE,,
127-DASB,127-DASB,DISCOM.1-AD.ARMY.MIL,SparePartsProvider,BRIGADE,,
127-DASB,127-DASB,DISCOM.1-AD.ARMY.MIL,SubsistenceSupplyProvider,BRIGADE,,
181-TCBN,181-TCBN,7-CSG.5-CORPS.ARMY.MIL,MaterielTransportProvider,CORPS,,Not Used Now
