society_id,orig_org_id,base_org_id,suffix
small-1ad-tc20.member,EuroShipPacker,EuroShipPacker,TRANSCOM.MIL
small-1ad-tc20.member,EuroGround,EuroGround,TRANSCOM.MIL
small-1ad-tc20.member,EuroSea,EuroSea,TRANSCOM.MIL
small-1ad-tc20.member,EuroAir,EuroAir,TRANSCOM.MIL
small-1ad-tc20.member,EuroTRANSCOM,EuroTRANSCOM,TRANSCOM.MIL
small-1ad-tc20.member,PlanePackerA,PlanePackerA,TRANSCOM.MIL
small-1ad-tc20.member,PlanePackerB,PlanePackerB,TRANSCOM.MIL
small-1ad-tc20.member,ConusAir,ConusAir,TRANSCOM.MIL
small-1ad-tc20.member,ConusShipPacker,ConusShipPacker,TRANSCOM.MIL
small-1ad-tc20.member,ConusGroundA,ConusGroundA,TRANSCOM.MIL
small-1ad-tc20.member,TheaterGroundA,TheaterGroundA,TRANSCOM.MIL
small-1ad-tc20.member,TheaterGroundB,TheaterGroundB,TRANSCOM.MIL
small-1ad-tc20.member,ConusSea,ConusSea,TRANSCOM.MIL
small-1ad-tc20.member,ConusTRANSCOM,ConusTRANSCOM,TRANSCOM.MIL
small-1ad-tc20.member,AmmoShipPacker,AmmoShipPacker,TRANSCOM.MIL
small-1ad-tc20.member,AmmoConusGround,AmmoConusGround,TRANSCOM.MIL
small-1ad-tc20.member,AmmoTheaterGround,AmmoTheaterGround,TRANSCOM.MIL
small-1ad-tc20.member,AmmoSea,AmmoSea,TRANSCOM.MIL
small-1ad-tc20.member,AmmoTRANSCOM,AmmoTRANSCOM,TRANSCOM.MIL
small-1ad-tc20.member,TRANSCOM-20,TRANSCOM-20,TRANSCOM.MIL
small-1ad-tc20.member,FORSCOM,FORSCOM,MIL
small-1ad-tc20.member,HNS,HNS,MIL
small-1ad-tc20.member,DLAHQ,DLAHQ,MIL
small-1ad-tc20.member,OSC,OSC,MIL
small-1ad-tc20.member,1-6-INFBN,1-6-INFBN,2-BDE.1-AD.ARMY.MIL
small-1ad-tc20.member,1-35-ARBN,1-35-ARBN,2-BDE.1-AD.ARMY.MIL
small-1ad-tc20.member,47-FSB,47-FSB,DISCOM.1-AD.ARMY.MIL
small-1ad-tc20.member,2-BDE-1-AD,2-BDE,1-AD.ARMY.MIL
small-1ad-tc20.member,123-MSB-POL,123-MSB-POL,DISCOM.1-AD.ARMY.MIL
small-1ad-tc20.member,123-MSB-ORD,123-MSB-ORD,DISCOM.1-AD.ARMY.MIL
small-1ad-tc20.member,123-MSB-PARTS,123-MSB-PARTS,DISCOM.1-AD.ARMY.MIL
small-1ad-tc20.member,123-MSB-FOOD,123-MSB-FOOD,DISCOM.1-AD.ARMY.MIL
small-1ad-tc20.member,123-MSB-HQ,123-MSB-HQ,DISCOM.1-AD.ARMY.MIL
small-1ad-tc20.member,DISCOM-1-AD,DISCOM,1-AD.ARMY.MIL
small-1ad-tc20.member,1-AD,1-AD,ARMY.MIL
small-1ad-tc20.member,1-27-FABN,1-27-FABN,5-CORPS.ARMY.MIL
small-1ad-tc20.member,41-FABDE,41-FABDE,5-CORPS.ARMY.MIL
small-1ad-tc20.member,5-CORPS-ARTY,CORPS-ARTY,5-CORPS.ARMY.MIL
small-1ad-tc20.member,52-ENGBN-CBTHVY,52-ENGBN-CBTHVY,5-CORPS.ARMY.MIL
small-1ad-tc20.member,130-ENGBDE,130-ENGBDE,5-CORPS.ARMY.MIL
small-1ad-tc20.member,5-CORPS-REAR,CORPS-REAR,5-CORPS.ARMY.MIL
small-1ad-tc20.member,102-POL-SUPPLYCO,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,26-SSCO,26-SSCO,16-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,485-CSB,485-CSB,16-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,226-MAINTCO,226-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,227-SUPPLYCO,227-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,18-MAINTBN,18-MAINTBN,16-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,16-CSG,16-CSG,5-CORPS.ARMY.MIL
small-1ad-tc20.member,240-SSCO,240-SSCO,7-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,597-MAINTCO,597-MAINTCO,7-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,71-MAINTBN,71-MAINTBN,7-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,406-SUPPLYCO,406-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,561-SSBN,561-SSBN,7-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,316-POL-SUPPLYBN,316-POL-SUPPLYBN,7-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,125-ORDBN,125-ORDBN,7-CSG.5-CORPS.ARMY.MIL
small-1ad-tc20.member,7-CSG,7-CSG,5-CORPS.ARMY.MIL
small-1ad-tc20.member,3-SUPCOM-HQ,3-SUPCOM-HQ,5-CORPS.ARMY.MIL
small-1ad-tc20.member,5-CORPS,5-CORPS,ARMY.MIL
small-1ad-tc20.member,AWR-2,AWR-2,21-TSC.ARMY.MIL
small-1ad-tc20.member,200-MMC,200-MMC,21-TSC.ARMY.MIL
small-1ad-tc20.member,574-SSCO,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL
small-1ad-tc20.member,343-SUPPLYCO,343-SUPPLYCO,29-SPTGP.21-TSC.ARMY.MIL
small-1ad-tc20.member,51-MAINTBN,51-MAINTBN,29-SPTGP.21-TSC.ARMY.MIL
small-1ad-tc20.member,191-ORDBN,191-ORDBN,29-SPTGP.21-TSC.ARMY.MIL
small-1ad-tc20.member,29-SPTGP,29-SPTGP,21-TSC.ARMY.MIL
small-1ad-tc20.member,110-POL-SUPPLYCO,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL
small-1ad-tc20.member,632-MAINTCO,632-MAINTCO,37-TRANSGP.21-TSC.ARMY.MIL
small-1ad-tc20.member,6-TCBN,6-TCBN,37-TRANSGP.21-TSC.ARMY.MIL
small-1ad-tc20.member,37-TRANSGP,37-TRANSGP,21-TSC.ARMY.MIL
small-1ad-tc20.member,21-TSC-HQ,21-TSC-HQ,ARMY.MIL
small-1ad-tc20.member,USAEUR,USAEUR,MIL
