society_id,orig_org_id,base_org_id,suffix
TINY-1AD-AMMO,110-POL-SUPPLYCO,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL
TINY-1AD-AMMO,123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL
TINY-1AD-AMMO,125-ORDBN,125-ORDBN,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD-AMMO,1-35-ARBN,1-35-ARBN,2-BDE.1-AD.ARMY.MIL
TINY-1AD-AMMO,1-6-INFBN,1-6-INFBN,2-BDE.1-AD.ARMY.MIL
TINY-1AD-AMMO,191-ORDBN,191-ORDBN,29-SPTGP.21-TSC.ARMY.MIL
TINY-1AD-AMMO,1-AD,1-AD,ARMY.MIL
TINY-1AD-AMMO,16-CSG,16-CSG,5-CORPS.ARMY.MIL
TINY-1AD-AMMO,200-MMC,200-MMC,21-TSC.ARMY.MIL
TINY-1AD-AMMO,21-TSC-HQ,21-TSC-HQ,ARMY.MIL
TINY-1AD-AMMO,29-SPTGP,29-SPTGP,21-TSC.ARMY.MIL
TINY-1AD-AMMO,2-BDE-1-AD,2-BDE,1-AD.ARMY.MIL
TINY-1AD-AMMO,316-POL-SUPPLYBN,316-POL-SUPPLYBN,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD-AMMO,343-SUPPLYCO,343-SUPPLYCO,29-SPTGP.21-TSC.ARMY.MIL
TINY-1AD-AMMO,37-TRANSGP,37-TRANSGP,21-TSC.ARMY.MIL
TINY-1AD-AMMO,3-SUPCOM-HQ,3-SUPCOM-HQ,5-CORPS.ARMY.MIL
TINY-1AD-AMMO,406-SUPPLYCO,406-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD-AMMO,47-FSB,47-FSB,DISCOM.1-AD.ARMY.MIL
TINY-1AD-AMMO,485-CSB,485-CSB,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD-AMMO,51-MAINTBN,51-MAINTBN,29-SPTGP.21-TSC.ARMY.MIL
TINY-1AD-AMMO,561-SSBN,561-SSBN,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD-AMMO,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD-AMMO,592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD-AMMO,5-CORPS,5-CORPS,ARMY.MIL
TINY-1AD-AMMO,6-TCBN,6-TCBN,37-TRANSGP.21-TSC.ARMY.MIL
TINY-1AD-AMMO,71-MAINTBN,71-MAINTBN,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD-AMMO,7-CSG,7-CSG,5-CORPS.ARMY.MIL
TINY-1AD-AMMO,900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD-AMMO,AWR-2,AWR-2,21-TSC.ARMY.MIL
TINY-1AD-AMMO,CONUSGround,CONUSGround,TRANSCOM.MIL
TINY-1AD-AMMO,DISCOM-1-AD,DISCOM,1-AD.ARMY.MIL
TINY-1AD-AMMO,DLAHQ,DLAHQ,MIL
TINY-1AD-AMMO,GlobalAir,AMC,TRANSCOM.MIL
TINY-1AD-AMMO,GlobalSea,MSC,TRANSCOM.MIL
TINY-1AD-AMMO,HNS,HNS,MIL
TINY-1AD-AMMO,NCA,OSD,GOV
TINY-1AD-AMMO,OSC,OSC,MIL
TINY-1AD-AMMO,PlanePacker,PlanePacker,TRANSCOM.MIL
TINY-1AD-AMMO,ShipPacker,ShipPacker,TRANSCOM.MIL
TINY-1AD-AMMO,TheaterGround,TheaterGround,TRANSCOM.MIL
TINY-1AD-AMMO,TRANSCOM,TRANSCOM,MIL
TINY-1AD-AMMO,USAEUR,USAEUR,MIL
TINY-1AD-AMMO,USEUCOM,USEUCOM,MIL
