society_id,orig_org_id,base_org_id,suffix
tiny-tc1-msbExp.member,TRANSCOM-1,TRANSCOM-1,TRANSCOM.MIL
tiny-tc1-msbExp.member,HNS,HNS,MIL
tiny-tc1-msbExp.member,DLAHQ,DLAHQ,MIL
tiny-tc1-msbExp.member,OSC,OSC,MIL
tiny-tc1-msbExp.member,1-6-INFBN,1-6-INFBN,2-BDE.1-AD.ARMY.MIL
tiny-tc1-msbExp.member,1-35-ARBN,1-35-ARBN,2-BDE.1-AD.ARMY.MIL
tiny-tc1-msbExp.member,47-FSB,47-FSB,DISCOM.1-AD.ARMY.MIL
tiny-tc1-msbExp.member,2-BDE-1-AD,2-BDE,1-AD.ARMY.MIL
tiny-tc1-msbExp.member,123-MSB-POL,123-MSB-POL,DISCOM.1-AD.ARMY.MIL
tiny-tc1-msbExp.member,123-MSB-ORD,123-MSB-ORD,DISCOM.1-AD.ARMY.MIL
tiny-tc1-msbExp.member,123-MSB-PARTS,123-MSB-PARTS,DISCOM.1-AD.ARMY.MIL
tiny-tc1-msbExp.member,123-MSB-FOOD,123-MSB-FOOD,DISCOM.1-AD.ARMY.MIL
tiny-tc1-msbExp.member,123-MSB-HQ,123-MSB-HQ,DISCOM.1-AD.ARMY.MIL
tiny-tc1-msbExp.member,DISCOM-1-AD,DISCOM,1-AD.ARMY.MIL
tiny-tc1-msbExp.member,1-AD,1-AD,ARMY.MIL
tiny-tc1-msbExp.member,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL
tiny-tc1-msbExp.member,71-MAINTBN,71-MAINTBN,7-CSG.5-CORPS.ARMY.MIL
tiny-tc1-msbExp.member,406-SUPPLYCO,406-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
tiny-tc1-msbExp.member,561-SSBN,561-SSBN,7-CSG.5-CORPS.ARMY.MIL
tiny-tc1-msbExp.member,900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
tiny-tc1-msbExp.member,316-POL-SUPPLYBN,316-POL-SUPPLYBN,7-CSG.5-CORPS.ARMY.MIL
tiny-tc1-msbExp.member,125-ORDBN,125-ORDBN,7-CSG.5-CORPS.ARMY.MIL
tiny-tc1-msbExp.member,7-CSG,7-CSG,5-CORPS.ARMY.MIL
tiny-tc1-msbExp.member,3-SUPCOM-HQ,3-SUPCOM-HQ,5-CORPS.ARMY.MIL
tiny-tc1-msbExp.member,5-CORPS,5-CORPS,ARMY.MIL
tiny-tc1-msbExp.member,AWR-2,AWR-2,21-TSC.ARMY.MIL
tiny-tc1-msbExp.member,200-MMC,200-MMC,21-TSC.ARMY.MIL
tiny-tc1-msbExp.member,343-SUPPLYCO,343-SUPPLYCO,29-SPTGP.21-TSC.ARMY.MIL
tiny-tc1-msbExp.member,51-MAINTBN,51-MAINTBN,29-SPTGP.21-TSC.ARMY.MIL
tiny-tc1-msbExp.member,191-ORDBN,191-ORDBN,29-SPTGP.21-TSC.ARMY.MIL
tiny-tc1-msbExp.member,29-SPTGP,29-SPTGP,21-TSC.ARMY.MIL
tiny-tc1-msbExp.member,110-POL-SUPPLYCO,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL
tiny-tc1-msbExp.member,6-TCBN,6-TCBN,37-TRANSGP.21-TSC.ARMY.MIL
tiny-tc1-msbExp.member,37-TRANSGP,37-TRANSGP,21-TSC.ARMY.MIL
tiny-tc1-msbExp.member,21-TSC-HQ,21-TSC-HQ,ARMY.MIL
tiny-tc1-msbExp.member,USAEUR,USAEUR,MIL
tiny-tc1-msbExp.member,USEUCOM,USEUCOM,MIL
tiny-tc1-msbExp.member,NCA,OSD,GOV
