society_id,orig_org_id,base_org_id,suffix
1-cab-17v12.member,UA-HHC,UA-HHC,1-UA.ARMY.MIL
1-cab-17v12.member,UA-BIC-CO,BIC-CO,1-UA.ARMY.MIL
1-cab-17v12.member,1-CA-BN-HHC,BN-HHC,1-CABN.1-UA.ARMY.MIL
1-cab-17v12.member,1-CA-BN-INF-CO-A,INFCO-A,1-CABN.1-UA.ARMY.MIL
1-cab-17v12.member,1-CA-BN-INF-CO-B,INFCO-B,1-CABN.1-UA.ARMY.MIL
1-cab-17v12.member,1-CA-BN-MCS-CO-A-HQ,CO-HQ,MCSCO-A.1-CABN.1-UA.ARMY.MIL
1-cab-17v12.member,1-CA-BN-MCS-CO-A-1-PLT,1-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL
1-cab-17v12.member,1-CA-BN-MCS-CO-A-2-PLT,2-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL
1-cab-17v12.member,1-CA-BN-MCS-CO-A-3-PLT,3-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL
1-cab-17v12.member,1-CA-BN-MCS-CO-B,MCSCO-B,1-CABN.1-UA.ARMY.MIL
1-cab-17v12.member,1-CA-BN-RECON-DET,RECON-DET,1-CABN.1-UA.ARMY.MIL
1-cab-17v12.member,1-CA-BN-MORTAR-BTY,MORTAR-BTY,1-CABN.1-UA.ARMY.MIL
1-cab-17v12.member,2-CA-BN,2-CA-BN,1-UA.ARMY.MIL
1-cab-17v12.member,3-CA-BN,3-CA-BN,1-UA.ARMY.MIL
1-cab-17v12.member,AVN-DET,AVN-DET,1-UA.ARMY.MIL
1-cab-17v12.member,NLOS-BN,NLOS-BN,1-UA.ARMY.MIL
1-cab-17v12.member,FSB,FSB,1-UA.ARMY.MIL
