society_id,orig_org_id,base_org_id,suffix
1-cab-fsb-53v72.member,UA-HHC,UA-HHC,1-UA.ARMY.MIL
1-cab-fsb-53v72.member,UA-BIC-CO,BIC-CO,1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MCG,MCG,1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-TACP,TACP,1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MED-PLT-HQ,MED-PLT-HQ,1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MED-PLT-TREATMENT-SQUAD,MED-PLT-TREATMENT-SQUAD,1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MED-PLT-EVAC-SECTION,MED-PLT-EVAC-SECTION,1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-SUPPORT-SECTION,SUPPORT-SECTION,1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-CO-HQ-SECTION,CO-HQ-SECTION,1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-INF-CO-A-HQ,CO-HQ,INFCO-A.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-INF-CO-A-1-PLT,1-PLT,INFCO-A.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-INF-CO-A-2-PLT,2-PLT,INFCO-A.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-INF-CO-A-3-PLT,3-PLT,INFCO-A.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-INF-CO-B-HQ,CO-HQ,INFCO-B.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-INF-CO-B-1-PLT,1-PLT,INFCO-B.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-INF-CO-B-2-PLT,2-PLT,INFCO-B.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-INF-CO-B-3-PLT,3-PLT,INFCO-B.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MCS-CO-A-HQ,CO-HQ,MCSCO-A.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MCS-CO-A-1-PLT,1-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MCS-CO-A-2-PLT,2-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MCS-CO-A-3-PLT,3-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MCS-CO-B-HQ,CO-HQ,MCSCO-B.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MCS-CO-B-1-PLT,1-PLT,MCSCO-B.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MCS-CO-B-2-PLT,2-PLT,MCSCO-B.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MCS-CO-B-3-PLT,3-PLT,MCSCO-B.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-RECON-DET-HQ,DET-HQ,RECON-DET.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-RECON-DET-1-PLT,1-PLT,RECON-DET.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-RECON-DET-2-PLT,2-PLT,RECON-DET.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-RECON-DET-3-PLT,3-PLT,RECON-DET.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MORTAR-BTY-HQ,BTY-HQ,MORTAR-BTY.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MORTAR-BTY-1-PLT,1-PLT,MORTAR-BTY.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,1-CA-BN-MORTAR-BTY-2-PLT,2-PLT,MORTAR-BTY.1-CABN.1-UA.ARMY.MIL
1-cab-fsb-53v72.member,2-CA-BN,2-CA-BN,1-UA.ARMY.MIL
1-cab-fsb-53v72.member,3-CA-BN,3-CA-BN,1-UA.ARMY.MIL
1-cab-fsb-53v72.member,AVN-DET,AVN-DET,1-UA.ARMY.MIL
1-cab-fsb-53v72.member,NLOS-BN,NLOS-BN,1-UA.ARMY.MIL
