society_id,orig_org_id,base_org_id,suffix,equip_type_id,quantity
160a208v-ln.member,UA-MCG1,MCG1,1-UA.ARMY.MIL,,
160a208v-ln.member,UA-MCG1,MCG1,1-UA.ARMY.MIL,FCS-ICV,1
160a208v-ln.member,UA-MCG1,MCG1,1-UA.ARMY.MIL,FCS-C2V,1
160a208v-ln.member,UA-MCG2,MCG2,1-UA.ARMY.MIL,,
160a208v-ln.member,UA-MCG2,MCG2,1-UA.ARMY.MIL,FCS-ICV,1
160a208v-ln.member,UA-MCG2,MCG2,1-UA.ARMY.MIL,FCS-C2V,1
160a208v-ln.member,UA-TACP,TACP,1-UA.ARMY.MIL,,
160a208v-ln.member,UA-TACP,TACP,1-UA.ARMY.MIL,FCS-ICV,1
160a208v-ln.member,UA-TACP,TACP,1-UA.ARMY.MIL,FCS-C2V,7
160a208v-ln.member,UA-MED-SPT,MED-SPT,1-UA.ARMY.MIL,,
160a208v-ln.member,UA-CO-HQ-SECTION,UA-CO-HQ-SECTION,1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-CO-HQ,CO-HQ,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-CO-HQ,CO-HQ,BIC.1-UA.ARMY.MIL,FCS-C2V,1
160a208v-ln.member,UA-BIC-RANGE-EXT-UA-HQ-SQUAD,RANGE-EXT-HQ-SQUAD,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-RANGE-EXT-UA-HQ-SQUAD,RANGE-EXT-HQ-SQUAD,BIC.1-UA.ARMY.MIL,FCS-C2V,1
160a208v-ln.member,UA-BIC-RANGE-EXT-FSB-SQUAD,RANGE-EXT-FSB-SQUAD,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-RANGE-EXT-1-CA-BN-SQUAD,RANGE-EXT-1-CA-BN-SQUAD,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-RANGE-EXT-2-CA-BN-SQUAD,RANGE-EXT-2-CA-BN-SQUAD,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-RANGE-EXT-3-CA-BN-SQUAD,RANGE-EXT-3-CA-BN-SQUAD,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-RANGE-EXT-NLOS-SQUAD,RANGE-EXT-NLOS-SQUAD,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-NETOPS-UA-HQ-SQUAD,NETOPS-HQ-SQUAD,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-NETOPS-UA-HQ-SQUAD,NETOPS-HQ-SQUAD,BIC.1-UA.ARMY.MIL,FCS-C2V,1
160a208v-ln.member,UA-BIC-NETOPS-FSB-SQUAD,NETOPS-FSB-SQUAD,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-NETOPS-1-CA-BN-SQUAD,NETOPS-1-CA-BN-SQUAD,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-NETOPS-2-CA-BN-SQUAD,NETOPS-2-CA-BN-SQUAD,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-NETOPS-3-CA-BN-SQUAD,NETOPS-3-CA-BN-SQUAD,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-NETOPS-NLOS-SQUAD,NETOPS-NLOS-SQUAD,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-SIT-AWARE-TEAM,SIT-AWARE-TEAM,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-TGT-DEV-TEAM,TGT-DEV-TEAM,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-ISR-INTEG-TEAM,ISR-INTEG-TEAM,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-CP-CTRL-TEAM,CP-CTRL-TEAM,BIC.1-UA.ARMY.MIL,,
160a208v-ln.member,UA-BIC-CP-CTRL-TEAM,CP-CTRL-TEAM,BIC.1-UA.ARMY.MIL,FCS-C2V,2
160a208v-ln.member,1-CA-BN-MCG,MCG,1-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,1-CA-BN-MCG,MCG,1-CABN.1-UA.ARMY.MIL,FCS-C2V,1
160a208v-ln.member,1-CA-BN-TACP,TACP,1-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,1-CA-BN-TACP,TACP,1-CABN.1-UA.ARMY.MIL,FCS-ICV,1
