society_id,orig_org_id,base_org_id,suffix,equip_type_id,quantity
21a12v.member,UA-MCG1,MCG1,1-UA.ARMY.MIL,,
21a12v.member,UA-MCG2,MCG2,1-UA.ARMY.MIL,,
21a12v.member,UA-TACP,TACP,1-UA.ARMY.MIL,,
21a12v.member,UA-MED-SPT,MED-SPT,1-UA.ARMY.MIL,,
21a12v.member,UA-CO-HQ-SECTION,UA-CO-HQ-SECTION,1-UA.ARMY.MIL,,
21a12v.member,UA-BIC-CO,BIC-CO,1-UA.ARMY.MIL,,
21a12v.member,1-CA-BN-HHC,BN-HHC,1-CABN.1-UA.ARMY.MIL,,
21a12v.member,1-CA-BN-INF-CO-A,INFCO-A,1-CABN.1-UA.ARMY.MIL,,
21a12v.member,1-CA-BN-INF-CO-B,INFCO-B,1-CABN.1-UA.ARMY.MIL,,
21a12v.member,1-CA-BN-MCS-CO-A-HQ,CO-HQ,MCSCO-A.1-CABN.1-UA.ARMY.MIL,,
21a12v.member,1-CA-BN-MCS-CO-A-1-PLT,1-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,,
21a12v.member,1-CA-BN-MCS-CO-A-1-PLT,1-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,FCS-MCS,3
21a12v.member,1-CA-BN-MCS-CO-A-1-PLT,1-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,FCS-ARV-R,1
21a12v.member,1-CA-BN-MCS-CO-A-2-PLT,2-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,,
21a12v.member,1-CA-BN-MCS-CO-A-2-PLT,2-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,FCS-MCS,3
21a12v.member,1-CA-BN-MCS-CO-A-2-PLT,2-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,FCS-ARV-R,1
21a12v.member,1-CA-BN-MCS-CO-A-3-PLT,3-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,,
21a12v.member,1-CA-BN-MCS-CO-A-3-PLT,3-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,FCS-MCS,3
21a12v.member,1-CA-BN-MCS-CO-A-3-PLT,3-PLT,MCSCO-A.1-CABN.1-UA.ARMY.MIL,FCS-ARV-R,1
21a12v.member,1-CA-BN-MCS-CO-B,MCSCO-B,1-CABN.1-UA.ARMY.MIL,,
21a12v.member,1-CA-BN-RECON-DET,RECON-DET,1-CABN.1-UA.ARMY.MIL,,
21a12v.member,1-CA-BN-MORTAR-BTY,MORTAR-BTY,1-CABN.1-UA.ARMY.MIL,,
21a12v.member,2-CA-BN,2-CA-BN,1-UA.ARMY.MIL,,
21a12v.member,3-CA-BN,3-CA-BN,1-UA.ARMY.MIL,,
21a12v.member,AVN-DET,AVN-DET,1-UA.ARMY.MIL,,
21a12v.member,NLOS-BN,NLOS-BN,1-UA.ARMY.MIL,,
21a12v.member,FSB,FSB,1-UA.ARMY.MIL,,
