orig_org_id,org_code,officer,warrant_officer,enlisted
UA-MCG1,AAA,5,0,9
UA-MCG2,AAB,5,0,8
UA-TACP,AAC,20,6,41
UA-MED-SPT,AAD,2,0,4
UA-CO-HQ-SECTION,AAE,1,0,5
UA-BIC-CO-HQ,ABA,2,0,4
UA-BIC-RANGE-EXT-UA-HQ-SQUAD,ABBA,1,0,6
UA-BIC-RANGE-EXT-FSB-SQUAD,ABBB,0,0,3
UA-BIC-RANGE-EXT-1-CA-BN-SQUAD,ABBC,0,0,3
UA-BIC-RANGE-EXT-2-CA-BN-SQUAD,ABBD,0,0,3
UA-BIC-RANGE-EXT-3-CA-BN-SQUAD,ABBE,0,0,3
UA-BIC-RANGE-EXT-NLOS-SQUAD,ABBF,0,0,3
UA-BIC-NETOPS-UA-HQ-SQUAD,ABCA,1,0,6
UA-BIC-NETOPS-FSB-SQUAD,ABCB,0,0,3
UA-BIC-NETOPS-1-CA-BN-SQUAD,ABCC,0,0,3
UA-BIC-NETOPS-2-CA-BN-SQUAD,ABCD,0,0,3
UA-BIC-NETOPS-3-CA-BN-SQUAD,ABCE,0,0,3
UA-BIC-NETOPS-NLOS-SQUAD,ABCF,0,0,3
UA-BIC-SIT-AWARE-TEAM,ABDA,1,1,14
UA-BIC-TGT-DEV-TEAM,ABDB,0,1,7
UA-BIC-ISR-INTEG-TEAM,ABEA,1,1,3
UA-BIC-CP-CTRL-TEAM,ABEB,0,0,12
1-CA-BN-MCG,ACAA,5,0,3
1-CA-BN-TACP,ACAB,10,1,26
1-CA-BN-MED-PLT-HQ,ACACA,1,0,3
1-CA-BN-MED-PLT-TREATMENT-SQUAD,ACACB,1,1,6
1-CA-BN-MED-PLT-EVAC-SECTION,ACACC,0,0,15
1-CA-BN-SUPPORT-SECTION,ACAD,0,0,8
1-CA-BN-CO-HQ-SECTION,ACAE,1,0,5
1-CA-BN-INF-CO-A-HQ,ACBA,2,0,8
1-CA-BN-INF-CO-A-1-PLT,ACBB,1,0,48
1-CA-BN-INF-CO-A-2-PLT,ACBC,1,0,48
1-CA-BN-INF-CO-A-3-PLT,ACBD,1,0,48
1-CA-BN-INF-CO-B-HQ,ACCA,2,0,8
1-CA-BN-INF-CO-B-1-PLT,ACCB,1,0,48
1-CA-BN-INF-CO-B-2-PLT,ACCC,1,0,48
1-CA-BN-INF-CO-B-3-PLT,ACCD,1,0,48
1-CA-BN-MCS-CO-A-HQ,ACDA,2,0,8
1-CA-BN-MCS-CO-A-1-PLT,ACDB,1,0,8
1-CA-BN-MCS-CO-A-2-PLT,ACDC,1,0,8
1-CA-BN-MCS-CO-A-3-PLT,ACDD,1,0,8
1-CA-BN-MCS-CO-B-HQ,ACEA,2,0,8
1-CA-BN-MCS-CO-B-1-PLT,ACEB,1,0,8
1-CA-BN-MCS-CO-B-2-PLT,ACEC,1,0,8
1-CA-BN-MCS-CO-B-3-PLT,ACED,1,0,8
1-CA-BN-RECON-DET-HQ,ACFA,1,0,9
1-CA-BN-RECON-DET-1-PLT,ACFB,1,0,16
1-CA-BN-RECON-DET-2-PLT,ACFC,1,0,16
1-CA-BN-RECON-DET-3-PLT,ACFD,1,0,16
1-CA-BN-MORTAR-BTY-HQ,ACGA,1,0,5
1-CA-BN-MORTAR-BTY-1-PLT,ACGB,1,0,13
1-CA-BN-MORTAR-BTY-2-PLT,ACGC,1,0,13
2-CA-BN-MCG,ADAA,5,0,3
2-CA-BN-TACP,ADAB,10,1,26
2-CA-BN-MED-PLT-HQ,ADACA,1,0,3
2-CA-BN-MED-PLT-TREATMENT-SQUAD,ADACB,1,1,6
2-CA-BN-MED-PLT-EVAC-SECTION,ADACC,0,0,15
2-CA-BN-SUPPORT-SECTION,ADAD,0,0,8
2-CA-BN-CO-HQ-SECTION,ADAE,1,0,5
2-CA-BN-INF-CO-A-HQ,ADBA,2,0,8
2-CA-BN-INF-CO-A-1-PLT,ADBB,1,0,48
2-CA-BN-INF-CO-A-2-PLT,ADBC,1,0,48
2-CA-BN-INF-CO-A-3-PLT,ADBD,1,0,48
2-CA-BN-INF-CO-B-HQ,ADCA,2,0,8
2-CA-BN-INF-CO-B-1-PLT,ADCB,1,0,48
2-CA-BN-INF-CO-B-2-PLT,ADCC,1,0,48
2-CA-BN-INF-CO-B-3-PLT,ADCD,1,0,48
2-CA-BN-MCS-CO-A-HQ,ADDA,2,0,8
2-CA-BN-MCS-CO-A-1-PLT,ADDB,1,0,8
2-CA-BN-MCS-CO-A-2-PLT,ADDC,1,0,8
2-CA-BN-MCS-CO-A-3-PLT,ADDD,1,0,8
2-CA-BN-MCS-CO-B-HQ,ADEA,2,0,8
2-CA-BN-MCS-CO-B-1-PLT,ADEB,1,0,8
2-CA-BN-MCS-CO-B-2-PLT,ADEC,1,0,8
2-CA-BN-MCS-CO-B-3-PLT,ADED,1,0,8
2-CA-BN-RECON-DET-HQ,ADFA,1,0,9
2-CA-BN-RECON-DET-1-PLT,ADFB,1,0,16
2-CA-BN-RECON-DET-2-PLT,ADFC,1,0,16
2-CA-BN-RECON-DET-3-PLT,ADFD,1,0,16
2-CA-BN-MORTAR-BTY-HQ,ADGA,1,0,5
2-CA-BN-MORTAR-BTY-1-PLT,ADGB,1,0,13
2-CA-BN-MORTAR-BTY-2-PLT,ADGC,1,0,13
3-CA-BN-MCG,AEAA,5,0,3
3-CA-BN-TACP,AEAB,10,1,26
3-CA-BN-MED-PLT-HQ,AEACA,1,0,3
3-CA-BN-MED-PLT-TREATMENT-SQUAD,AEACB,1,1,6
3-CA-BN-MED-PLT-EVAC-SECTION,AEACC,0,0,15
3-CA-BN-SUPPORT-SECTION,AEAD,0,0,8
3-CA-BN-CO-HQ-SECTION,AEAE,1,0,5
3-CA-BN-INF-CO-A-HQ,AEBA,2,0,8
3-CA-BN-INF-CO-A-1-PLT,AEBB,1,0,48
3-CA-BN-INF-CO-A-2-PLT,AEBC,1,0,48
3-CA-BN-INF-CO-A-3-PLT,AEBD,1,0,48
3-CA-BN-INF-CO-B-HQ,AECA,2,0,8
3-CA-BN-INF-CO-B-1-PLT,AECB,1,0,48
3-CA-BN-INF-CO-B-2-PLT,AECC,1,0,48
3-CA-BN-INF-CO-B-3-PLT,AECD,1,0,48
3-CA-BN-MCS-CO-A-HQ,AEDA,2,0,8
3-CA-BN-MCS-CO-A-1-PLT,AEDB,1,0,8
3-CA-BN-MCS-CO-A-2-PLT,AEDC,1,0,8
3-CA-BN-MCS-CO-A-3-PLT,AEDD,1,0,8
3-CA-BN-MCS-CO-B-HQ,AEEA,2,0,8
3-CA-BN-MCS-CO-B-1-PLT,AEEB,1,0,8
3-CA-BN-MCS-CO-B-2-PLT,AEEC,1,0,8
3-CA-BN-MCS-CO-B-3-PLT,AEED,1,0,8
3-CA-BN-RECON-DET-HQ,AEFA,1,0,9
3-CA-BN-RECON-DET-1-PLT,AEFB,1,0,16
3-CA-BN-RECON-DET-2-PLT,AEFC,1,0,16
3-CA-BN-RECON-DET-3-PLT,AEFD,1,0,16
3-CA-BN-MORTAR-BTY-HQ,AEGA,1,0,5
3-CA-BN-MORTAR-BTY-1-PLT,AEGB,1,0,13
3-CA-BN-MORTAR-BTY-2-PLT,AEGC,1,0,13
AVN-DET-HQ,AFA,6,1,11
AVN-DET-FLT-TRP-A-HQ,AFBA,1,3,2
AVN-DET-FLT-TRP-A-1-PLT,AFBB,1,6,7
AVN-DET-FLT-TRP-A-2-PLT,AFBC,1,6,7
AVN-DET-FLT-TRP-A-SPT-PLT,AFBD,1,1,10
AVN-DET-FLT-TRP-B-HQ,AFCA,1,3,2
AVN-DET-FLT-TRP-B-1-PLT,AFCB,1,6,7
AVN-DET-FLT-TRP-B-2-PLT,AFCC,1,6,7
AVN-DET-FLT-TRP-B-SPT-PLT,AFCD,1,1,10
AVN-DET-SVC-TRP-HQ,AFDA,1,1,9
AVN-DET-SVC-TRP-MAINT-PLT-HQ,AFDBA,0,1,1
AVN-DET-SVC-TRP-ARMT-ELEC-REPAIR-SECTION,AFDBB,0,0,10
AVN-DET-SVC-TRP-AIRCRAFT-REPAIR-SECTION,AFDBC,0,0,8
AVN-DET-SVC-TRP-AIRFRAME-REPAIR-SECTION,AFDBD,0,0,5
AVN-DET-SVC-TRP-SUPPORT-PLT,AFDC,1,0,22
NLOS-BN-BTRY-HQ,AGAA,1,0,2
NLOS-BN-CIC-CMD-GRP,AGABA,2,0,5
