order,orig_org_id,base_org_id,suffix,,combat_support,echelon,echelon_group,"is_
deployable","has_
physical_
assets","has_
equipment_
assets","has_
personnel_
assets",uic,"home_
location"
1,NCA,OSD,GOV,,CMD,JOINT,Conus,N,N,N,N,,VDYD
2,TRANSCOM,TRANSCOM,MIL,,CSS,JOINT,Transcom,N,N,N,N,,VDYD
3,GlobalSea,MSC,TRANSCOM.MIL,,CSS,JOINT,Transcom,N,N,N,N,,VDYD
4,ShipPacker,ShipPacker,TRANSCOM.MIL,,CSS,JOINT,Transcom,N,N,N,N,,VDYD
5,GlobalAir,AMC,TRANSCOM.MIL,,CSS,JOINT,Transcom,N,N,N,N,,VDYD
6,PlanePacker,PlanePacker,TRANSCOM.MIL,,CSS,JOINT,Transcom,N,N,N,N,,VDYD
7,CONUSGround,CONUSGround,TRANSCOM.MIL,,CSS,JOINT,Transcom,N,N,N,N,,VDYD
8,TheaterGround,TheaterGround,TRANSCOM.MIL,,CSS,JOINT,Transcom,N,N,N,N,,VDYD
9,FORSCOM,FORSCOM,MIL,,CMD,JOINT,Conus,N,N,N,N,,VDYD
10,HNS,HNS,MIL,,CSS,JOINT,Conus,N,N,N,N,,VDYD
11,DLAHQ,DLAHQ,MIL,,CSS,JOINT,Conus,N,N,N,N,,VDYD
12,OSC,OSC,MIL,,CSS,JOINT,Conus,N,N,N,N,,VDYD
13,NATO,NATO,GOV,,CMD,JOINT,Conus,N,N,N,N,,VDYD
14,JSRCMDSE,JSRCMDSE,NATO.GOV,,CMD,JOINT,Conus,N,N,N,N,,VDYD
15,USEUCOM,USEUCOM,MIL,,CMD,JOINT,Conus,N,N,N,N,,VDYD
16,USAEUR,USAEUR,MIL,,CMD,JOINT,Conus,N,N,N,N,,VDYD
17,5-CORPS,5-CORPS,ARMY.MIL,,CMD,CORPS,Corps,Y,Y,Y,Y,WAT6AA,CYWK
18,1-AD,1-AD,ARMY.MIL,,CMD,DIVISION,Division,Y,Y,Y,Y,WAPBAA,ULRK
19,1-AD-DIV,DIV-REAR,1-AD.ARMY.MIL,,CMD,BRIGADE,Division,N,N,N,N,,VDYD
20,501-MPCO,501-MPCO,1-AD.ARMY.MIL,,CSS,COMPANY,Division,Y,Y,Y,Y,WAPCAA,ULRK
21,141-SIGBN,141-SIGBN,1-AD.ARMY.MIL,,CSS,BATTALION,Division,Y,Y,Y,Y,WAPEAA,ULRK
22,1-4-ADABN,1-4-ADABN,1-AD.ARMY.MIL,,CS,BATTALION,Division,Y,Y,Y,Y,WGM8AA,YEMX
23,501-MIBN-CEWI,501-MIBN-CEWI,1-AD.ARMY.MIL,,CSS,BATTALION,Division,Y,Y,Y,Y,WH6YAA,AJPG
24,69-CHEMCO,69-CHEMCO,1-AD.ARMY.MIL,,CSS,COMPANY,Division,Y,Y,Y,Y,WA8RAA,ANYF
25,1-BDE-1-AD,1-BDE,1-AD.ARMY.MIL,,CBT,BRIGADE,Brigade,Y,Y,Y,Y,WAELAA,TZUX
26,2-37-ARBN,2-37-ARBN,1-BDE.1-AD.ARMY.MIL,,CBT,BATTALION,Brigade,Y,Y,Y,Y,WAD9AA,TZUX
27,1-36-INFBN,1-36-INFBN,1-BDE.1-AD.ARMY.MIL,,CBT,BATTALION,Brigade,Y,Y,Y,Y,WAE3AA,TZUX
28,1-37-ARBN,1-37-ARBN,1-BDE.1-AD.ARMY.MIL,,CBT,BATTALION,Brigade,Y,Y,Y,Y,WH54AA,HBBH
29,16-ENGBN,16-ENGBN,1-BDE.1-AD.ARMY.MIL,,CS,BATTALION,Brigade,Y,Y,Y,Y,WAEUAA,HWZJ
30,2-3-FABN,2-3-FABN,1-BDE.1-AD.ARMY.MIL,,CS,BATTALION,Brigade,Y,Y,Y,Y,WAEQAA,HWZJ
31,2-BDE-1-AD,2-BDE,1-AD.ARMY.MIL,,CBT,BRIGADE,Brigade,Y,Y,Y,Y,WAPGAA,VTYA
32,1-6-INFBN,1-6-INFBN,2-BDE.1-AD.ARMY.MIL,,CBT,BATTALION,Brigade,Y,Y,Y,Y,WAPSAA,VTYA
33,2-6-INFBN,2-6-INFBN,2-BDE.1-AD.ARMY.MIL,,CBT,BATTALION,Brigade,Y,Y,Y,Y,WAPWAA,VTYA
34,1-35-ARBN,1-35-ARBN,2-BDE.1-AD.ARMY.MIL,,CBT,BATTALION,Brigade,Y,Y,Y,Y,WAPYAA,VTYA
