order,orig_org_id,db_org_id,diff,base_org_id,suffix,diff2,db_org_id,db_sup_org_id
1,NCA,NCA,-,OSD,GOV,-,NCA,
2,TRANSCOM,TRANSCOM,-,TRANSCOM,MIL,-,TRANSCOM,NCA
3,GlobalSea,GlobalSea,-,MSC,TRANSCOM.MIL,-,GlobalSea,TRANSCOM
4,ShipPacker,ShipPacker,-,ShipPacker,TRANSCOM.MIL,-,ShipPacker,GlobalSea
5,GlobalAir,GlobalAir,-,AMC,TRANSCOM.MIL,-,GlobalAir,TRANSCOM
6,PlanePacker,PlanePacker,-,PlanePacker,TRANSCOM.MIL,-,PlanePacker,GlobalAir
7,CONUSGround,CONUSGround,-,CONUSGround,TRANSCOM.MIL,-,CONUSGround,GlobalSea
8,TheaterGround,TheaterGround,-,TheaterGround,TRANSCOM.MIL,-,TheaterGround,GlobalSea
9,FORSCOM,FORSCOM,-,FORSCOM,MIL,-,FORSCOM,NCA
10,HNS,HNS,-,HNS,MIL,-,HNS,NCA
11,DLAHQ,DLAHQ,-,DLAHQ,MIL,-,DLAHQ,NCA
12,OSC,OSC,-,OSC,MIL,-,OSC,NCA
13,USEUCOM,USEUCOM,-,USEUCOM,MIL,-,USEUCOM,NCA
14,USAEUR,USAEUR,-,USAEUR,MIL,-,USAEUR,USEUCOM
15,NATO,NATO,-,NATO,GOV,-,NATO,NCA
16,JSRCMDSE,JSRCMDSE,-,JSRCMDSE,NATO.GOV,-,JSRCMDSE,NATO
17,5-CORPS,5-CORPS,-,5-CORPS,ARMY.MIL,-,5-CORPS,USAEUR
18,1-AD,1-AD,-,1-AD,ARMY.MIL,-,1-AD,5-CORPS
19,1-AD-DIV,1-AD-DIV,-,DIV-REAR,1-AD.ARMY.MIL,-,1-AD-DIV,1-AD
20,501-MPCO,501-MPCO,-,501-MPCO,1-AD.ARMY.MIL,-,501-MPCO,1-AD-DIV
21,141-SIGBN,141-SIGBN,-,141-SIGBN,1-AD.ARMY.MIL,-,141-SIGBN,1-AD-DIV
22,1-4-ADABN,1-4-ADABN,-,1-4-ADABN,1-AD.ARMY.MIL,-,1-4-ADABN,1-AD-DIV
23,501-MIBN-CEWI,501-MIBN-CEWI,-,501-MIBN-CEWI,1-AD.ARMY.MIL,-,501-MIBN-CEWI,1-AD-DIV
24,69-CHEMCO,69-CHEMCO,-,69-CHEMCO,1-AD.ARMY.MIL,-,69-CHEMCO,1-AD-DIV
25,1-BDE-1-AD,1-BDE-1-AD,-,1-BDE,1-AD.ARMY.MIL,-,1-BDE-1-AD,1-AD
26,2-37-ARBN,2-37-ARBN,-,2-37-ARBN,1-BDE.1-AD.ARMY.MIL,-,2-37-ARBN,1-BDE-1-AD
27,1-36-INFBN,1-36-INFBN,-,1-36-INFBN,1-BDE.1-AD.ARMY.MIL,-,1-36-INFBN,1-BDE-1-AD
28,1-37-ARBN,1-37-ARBN,-,1-37-ARBN,1-BDE.1-AD.ARMY.MIL,-,1-37-ARBN,1-BDE-1-AD
29,16-ENGBN,16-ENGBN,-,16-ENGBN,1-BDE.1-AD.ARMY.MIL,-,16-ENGBN,1-BDE-1-AD
30,2-3-FABN,2-3-FABN,-,2-3-FABN,1-BDE.1-AD.ARMY.MIL,-,2-3-FABN,1-BDE-1-AD
31,2-BDE-1-AD,2-BDE-1-AD,-,2-BDE,1-AD.ARMY.MIL,-,2-BDE-1-AD,1-AD
32,1-6-INFBN,1-6-INFBN,-,1-6-INFBN,2-BDE.1-AD.ARMY.MIL,-,1-6-INFBN,2-BDE-1-AD
33,2-6-INFBN,2-6-INFBN,-,2-6-INFBN,2-BDE.1-AD.ARMY.MIL,-,2-6-INFBN,2-BDE-1-AD
34,1-35-ARBN,1-35-ARBN,-,1-35-ARBN,2-BDE.1-AD.ARMY.MIL,-,1-35-ARBN,2-BDE-1-AD
35,40-ENGBN,40-ENGBN,-,40-ENGBN,2-BDE.1-AD.ARMY.MIL,-,40-ENGBN,2-BDE-1-AD
36,4-27-FABN,4-27-FABN,-,4-27-FABN,2-BDE.1-AD.ARMY.MIL,-,4-27-FABN,2-BDE-1-AD
37,3-BDE-1-AD,3-BDE-1-AD,-,3-BDE,1-AD.ARMY.MIL,-,3-BDE-1-AD,1-AD
38,1-13-ARBN,1-13-ARBN,-,1-13-ARBN,3-BDE.1-AD.ARMY.MIL,-,1-13-ARBN,3-BDE-1-AD
