order,orig_org_id,base_org_id,suffix,,"supported_base_org_id","supported_suffix","echelon_of_support",space
2,TRANSCOM-STUB,TRANSCOM-STUB,MIL,,OSD,GOV,JOINT,
3,TRANSCOM,TRANSCOM,MIL,,OSD,GOV,JOINT, 
11,HNS,HNS,MIL,,OSD,GOV,JOINT, 
12,DLAHQ,DLAHQ,MIL,,OSD,GOV,JOINT, 
13,OSC,OSC,MIL,,OSD,GOV,JOINT, 
48,123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL,,1-AD,ARMY.MIL,DIVISION, 
49,501-FSB,501-FSB,DISCOM.1-AD.ARMY.MIL,,1-BDE,1-AD.ARMY.MIL,BRIGADE, 
50,47-FSB,47-FSB,DISCOM.1-AD.ARMY.MIL,,2-BDE,1-AD.ARMY.MIL,BRIGADE, 
51,125-FSB,125-FSB,DISCOM.1-AD.ARMY.MIL,,3-BDE,1-AD.ARMY.MIL,BRIGADE, 
52,127-DASB,127-DASB,DISCOM.1-AD.ARMY.MIL,,AVNBDE,1-AD.ARMY.MIL,BRIGADE, 
78,16-CSG,16-CSG,5-CORPS.ARMY.MIL,,1-AD,ARMY.MIL,CORPS, 
80,102-POL-SUPPLYCO,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL,,16-CSG,5-CORPS.ARMY.MIL,CORPS, 
82,26-SSCO,26-SSCO,16-CSG.5-CORPS.ARMY.MIL,,16-CSG,5-CORPS.ARMY.MIL,DIVISION, 
84,592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL,,16-CSG,5-CORPS.ARMY.MIL,CORPS, 
87,226-MAINTCO,226-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,,16-CSG,5-CORPS.ARMY.MIL,DIVISION, 
95,7-CSG,7-CSG,5-CORPS.ARMY.MIL,,5-CORPS,ARMY.MIL,CORPS, 
97,240-SSCO,240-SSCO,7-CSG.5-CORPS.ARMY.MIL,,7-CSG,5-CORPS.ARMY.MIL,DIVISION, 
97,240-SSCO,240-SSCO,7-CSG.5-CORPS.ARMY.MIL,,CORPS-ARTY,5-CORPS.ARMY.MIL,DIVISION, 
97,240-SSCO,240-SSCO,7-CSG.5-CORPS.ARMY.MIL,,CORPS-REAR,5-CORPS.ARMY.MIL,DIVISION, 
99,597-MAINTCO,597-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,,CORPS-REAR,5-CORPS.ARMY.MIL,DIVISION, 
100,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL,,16-CSG,5-CORPS.ARMY.MIL,CORPS, 
100,597-MAINTCO,597-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,,CORPS-ARTY,5-CORPS.ARMY.MIL,DIVISION, 
101,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL,,7-CSG,5-CORPS.ARMY.MIL,CORPS, 
105,406-SUPPLYCO,406-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL,,7-CSG,5-CORPS.ARMY.MIL,CORPS, 
111,900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL,,7-CSG,5-CORPS.ARMY.MIL,CORPS, 
113,125-ORDBN,125-ORDBN,7-CSG.5-CORPS.ARMY.MIL,,7-CSG,5-CORPS.ARMY.MIL,CORPS, 
116,21-TSC-HQ,21-TSC-HQ,ARMY.MIL,,USAEUR,MIL,THEATER, 
117,AWR-2,AWR-2,21-TSC.ARMY.MIL,,OSD,GOV,JOINT, 
118,200-MMC,200-MMC,21-TSC.ARMY.MIL,,21-TSC-HQ,ARMY.MIL,THEATER, 
124,574-SSCO,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL,,21-TSC-HQ,ARMY.MIL,DIVISION, 
126,343-SUPPLYCO,343-SUPPLYCO,29-SPTGP.21-TSC.ARMY.MIL,,21-TSC-HQ,ARMY.MIL,THEATER, 
128,191-ORDBN,191-ORDBN,29-SPTGP.21-TSC.ARMY.MIL,,21-TSC-HQ,ARMY.MIL,THEATER, 
140,110-POL-SUPPLYCO,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL,,21-TSC-HQ,ARMY.MIL,THEATER, 
141,632-MAINTCO,632-MAINTCO,37-TRANSGP.21-TSC.ARMY.MIL,,21-TSC-HQ,ARMY.MIL,DIVISION, 
