order,orig_org_id,base_org_id,suffix,,"supported_
base_org_id","supported_
suffix","echelon
_of_
support"
2,TRANSCOM,TRANSCOM,MIL,,OSD,GOV,Joint
10,HNS,HNS,MIL,,OSD,GOV,Joint
11,DLAHQ,DLAHQ,MIL,,OSD,GOV,Joint
12,OSC,OSC,MIL,,OSD,GOV,Joint
47,123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL,,1-AD,ARMY.MIL,Division
48,501-FSB,501-FSB,DISCOM.1-AD.ARMY.MIL,,1-BDE,1-AD.ARMY.MIL,Brigade
49,47-FSB,47-FSB,DISCOM.1-AD.ARMY.MIL,,2-BDE,1-AD.ARMY.MIL,Brigade
50,125-FSB,125-FSB,DISCOM.1-AD.ARMY.MIL,,3-BDE,1-AD.ARMY.MIL,Brigade
51,127-DASB,127-DASB,DISCOM.1-AD.ARMY.MIL,,AVNBDE,1-AD.ARMY.MIL,Brigade
77,16-CSG,16-CSG,5-CORPS.ARMY.MIL,,1-AD,ARMY.MIL,Corps
79,102-POL-SUPPLYCO,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL,,16-CSG,5-CORPS.ARMY.MIL,Corps
81,26-SSCO,26-SSCO,16-CSG.5-CORPS.ARMY.MIL,,16-CSG,5-CORPS.ARMY.MIL,Division
83,592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL,,16-CSG,5-CORPS.ARMY.MIL,Corps
86,226-MAINTCO,226-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,,16-CSG,5-CORPS.ARMY.MIL,Division
94,7-CSG,7-CSG,5-CORPS.ARMY.MIL,,5-CORPS,ARMY.MIL,Corps
96,240-SSCO,240-SSCO,7-CSG.5-CORPS.ARMY.MIL,,7-CSG,5-CORPS.ARMY.MIL,Division
96,240-SSCO,240-SSCO,7-CSG.5-CORPS.ARMY.MIL,,CORPS-ARTY,5-CORPS.ARMY.MIL,Division
96,240-SSCO,240-SSCO,7-CSG.5-CORPS.ARMY.MIL,,CORPS-REAR,5-CORPS.ARMY.MIL,Division
98,597-MAINTCO,597-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,,CORPS-REAR,5-CORPS.ARMY.MIL,Division
99,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL,,16-CSG,5-CORPS.ARMY.MIL,Corps
99,597-MAINTCO,597-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,,CORPS-ARTY,5-CORPS.ARMY.MIL,Division
100,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL,,7-CSG,5-CORPS.ARMY.MIL,Corps
104,406-SUPPLYCO,406-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL,,7-CSG,5-CORPS.ARMY.MIL,Corps
110,900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL,,7-CSG,5-CORPS.ARMY.MIL,Corps
112,125-ORDBN,125-ORDBN,7-CSG.5-CORPS.ARMY.MIL,,7-CSG,5-CORPS.ARMY.MIL,Corps
115,21-TSC-HQ,21-TSC-HQ,ARMY.MIL,,USAEUR,MIL,Theater
116,AWR-2,AWR-2,21-TSC.ARMY.MIL,,OSD,GOV,Joint
117,200-MMC,200-MMC,21-TSC.ARMY.MIL,,21-TSC-HQ,ARMY.MIL,Theater
123,574-SSCO,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL,,21-TSC-HQ,ARMY.MIL,Division
125,343-SUPPLYCO,343-SUPPLYCO,29-SPTGP.21-TSC.ARMY.MIL,,21-TSC-HQ,ARMY.MIL,Theater
127,191-ORDBN,191-ORDBN,29-SPTGP.21-TSC.ARMY.MIL,,21-TSC-HQ,ARMY.MIL,Theater
139,110-POL-SUPPLYCO,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL,,21-TSC-HQ,ARMY.MIL,Theater
140,632-MAINTCO,632-MAINTCO,37-TRANSGP.21-TSC.ARMY.MIL,,21-TSC-HQ,ARMY.MIL,Division
